book,chapter,token_count
Romans,2,1534
Romans,3,1552
Romans,4,1347
Romans,5,1426
Romans,6,1394
Romans,7,1429
Romans,8,2127
Romans,9,1812
Romans,10,1188
Romans,11,2089
Romans,12,1001
Romans,13,876
Romans,14,1264
Romans,15,1899
Romans,16,1469
Malachi,1,1389
Malachi,2,1554
Malachi,3,1463
Malachi,4,419
Numbers,1,2456
Numbers,2,1558
Numbers,3,2529
Numbers,4,2315
Numbers,5,1838
Numbers,6,1632
Numbers,7,5114
Numbers,8,1509
Numbers,9,1544
Numbers,10,1902
Numbers,11,2223
Numbers,12,896
Numbers,13,1487
Numbers,14,2704
Numbers,15,2117
Numbers,16,3047
Numbers,17,780
Numbers,18,2293
Numbers,19,1411
Numbers,20,1819
Numbers,21,2157
Numbers,22,2637
Numbers,23,1835
Numbers,24,1495
Numbers,25,991
Numbers,26,3226
Numbers,27,1216
Numbers,28,1515
Numbers,29,2044
Numbers,30,1004
Numbers,31,2582
Numbers,32,2457
Numbers,33,2022
Numbers,34,1243
Numbers,35,1936
Numbers,36,918
Judges,1,2421
Judges,2,1633
Judges,3,2064
Judges,4,1758
Judges,5,2013
Judges,6,3082
Judges,7,2226
Judges,8,2501
Judges,9,3909
Judges,10,1183
Judges,11,2923
Judges,12,1159
Judges,13,1800
Judges,14,1761
Judges,15,1648
Judges,16,2712
Judges,17,919
Judges,18,2288
Judges,19,2263
Judges,20,3293
Judges,21,1777
Zechariah,1,1572
Zechariah,2,749
Zechariah,3,669
Zechariah,4,897
Zechariah,5,696
Zechariah,6,840
Zechariah,7,810
Zechariah,8,1606
Zechariah,9,1258
Zechariah,10,871
Zechariah,11,1196
Zechariah,12,999
Zechariah,13,622
Zechariah,14,1480
Zephaniah,1,1233
Zephaniah,2,1105
Zephaniah,3,1472
Deuteronomy,1,3147
Deuteronomy,2,2411
Deuteronomy,3,2137
Deuteronomy,4,3625
Deuteronomy,5,2056
Deuteronomy,6,1521
Deuteronomy,7,2047
Deuteronomy,8,1335
Deuteronomy,9,2250
Deuteronomy,10,1378
Deuteronomy,11,2150
Deuteronomy,12,2346
Deuteronomy,13,1391
Deuteronomy,14,1485
Deuteronomy,15,1537
Deuteronomy,16,1471
Deuteronomy,17,1387
Deuteronomy,18,1313
Deuteronomy,19,1355
Deuteronomy,20,1453
Deuteronomy,21,1526
Deuteronomy,22,1737
Deuteronomy,23,1453
Deuteronomy,24,1457
Deuteronomy,25,1208
Deuteronomy,26,1429
Deuteronomy,27,1390
Deuteronomy,28,4486
Deuteronomy,29,1971
Deuteronomy,30,1527
Deuteronomy,31,2200
Deuteronomy,32,3107
Deuteronomy,33,1882
Deuteronomy,34,677
Amos,1,1071
Amos,2,1060
Amos,3,966
Amos,4,1201
Amos,5,1642
Amos,6,943
Amos,7,1157
Amos,8,1000
Amos,9,1170
Ezekiel,1,1619
Ezekiel,2,613
Ezekiel,3,1788
Ezekiel,4,1058
Ezekiel,5,1270
Ezekiel,6,1054
Ezekiel,7,1816
Ezekiel,8,1332
Ezekiel,9,910
Ezekiel,10,1256
Ezekiel,11,1567
Ezekiel,12,1752
Ezekiel,13,1772
Ezekiel,14,1689
Ezekiel,15,457
Ezekiel,16,4062
Ezekiel,17,1743
Ezekiel,18,2238
Ezekiel,19,751
Ezekiel,20,3896
Ezekiel,21,2114
Ezekiel,22,2075
Ezekiel,23,2987
Ezekiel,24,1790
Ezekiel,25,1280
Ezekiel,26,1583
Ezekiel,27,2138
Ezekiel,28,1843
Ezekiel,29,1535
Ezekiel,30,1698
Ezekiel,31,1490
Ezekiel,32,2487
Ezekiel,33,2529
Ezekiel,34,2103
Ezekiel,35,944
Ezekiel,36,2885
Ezekiel,37,1958
Ezekiel,38,1638
Ezekiel,39,2045
Ezekiel,40,3195
Ezekiel,41,1599
Ezekiel,42,1123
Ezekiel,43,1879
Ezekiel,44,2136
Ezekiel,45,1874
Ezekiel,46,1713
Ezekiel,47,1677
Ezekiel,48,2284
Esther,1,1423
Esther,2,1621
Esther,3,1083
Esther,4,1063
Esther,5,963
Esther,6,1046
Esther,7,803
Esther,8,1295
Esther,9,1969
Esther,10,187
Ezra,1,831
Ezra,2,2244
Ezra,3,1085
Ezra,4,1705
Ezra,5,1308
Ezra,6,1748
Ezra,7,1905
Ezra,8,2361
Ezra,9,1539
Ezra,10,2225
1 Chronicles,1,1868
1 Chronicles,2,2356
1 Chronicles,3,1049
1 Chronicles,4,2177
1 Chronicles,5,1608
1 Chronicles,6,3387
1 Chronicles,7,2124
1 Chronicles,8,1353
1 Chronicles,9,2365
1 Chronicles,10,919
1 Chronicles,11,2527
1 Chronicles,12,2485
1 Chronicles,13,919
1 Chronicles,14,951
1 Chronicles,15,1705
1 Chronicles,16,2090
1 Chronicles,17,1765
1 Chronicles,18,1043
1 Chronicles,19,1381
1 Chronicles,20,616
1 Chronicles,21,2163
1 Chronicles,22,1438
1 Chronicles,23,1503
1 Chronicles,24,1392
1 Chronicles,25,1383
1 Chronicles,26,1783
1 Chronicles,27,1857
1 Chronicles,28,1731
1 Chronicles,29,2167
2 Chronicles,1,1140
2 Chronicles,2,1461
2 Chronicles,3,1004
2 Chronicles,4,1288
2 Chronicles,5,931
2 Chronicles,6,3153
2 Chronicles,7,1622
2 Chronicles,8,1208
2 Chronicles,9,1989
2 Chronicles,10,1469
2 Chronicles,11,1340
2 Chronicles,12,1145
2 Chronicles,13,1557
2 Chronicles,14,1086
2 Chronicles,15,1184
2 Chronicles,16,1001
2 Chronicles,17,1124
2 Chronicles,18,2609
2 Chronicles,19,950
2 Chronicles,20,2787
2 Chronicles,21,1417
2 Chronicles,22,1067
2 Chronicles,23,1567
2 Chronicles,24,1972
2 Chronicles,25,2248
2 Chronicles,26,1595
2 Chronicles,27,517
2 Chronicles,28,1979
2 Chronicles,29,2465
2 Chronicles,30,2152
2 Chronicles,31,1653
2 Chronicles,32,2612
2 Chronicles,33,1655
2 Chronicles,34,2617
